method,sigma_y,dim_x,dim_y,seed,sliced_wasserstein_distance
pseudo_inverse_guidance,1.0,10,4,0,0.8518715301535272
pseudo_inverse_guidance,1.0,10,4,10,1.4891912845856567
pseudo_inverse_guidance,1.0,10,4,100,1.5624166957364103
pseudo_inverse_guidance,1.0,10,4,101,0.07378743488348295
pseudo_inverse_guidance,1.0,10,4,404,0.3551679762278296
pseudo_inverse_guidance,1.0,10,4,1000,0.2206045708637717
pseudo_inverse_guidance,1.0,100,1,0,1.0269083347175005
pseudo_inverse_guidance,1.0,100,1,10,0.6422310098969385
pseudo_inverse_guidance,1.0,100,1,100,0.9113171978667087
pseudo_inverse_guidance,1.0,100,1,101,3.7700813974499776
pseudo_inverse_guidance,1.0,100,1,404,0.6047016623671864
pseudo_inverse_guidance,1.0,100,1,1000,0.2296958057401802
pseudo_inverse_guidance,1.0,100,2,0,0.3569588149958673
pseudo_inverse_guidance,1.0,100,2,10,1.1324834194885607
pseudo_inverse_guidance,1.0,100,2,100,1.707445152327072
pseudo_inverse_guidance,1.0,100,2,101,0.8164630625559924
pseudo_inverse_guidance,1.0,100,2,404,1.933449325657992
pseudo_inverse_guidance,1.0,100,2,1000,0.08023117352537942
pseudo_inverse_guidance,1.0,100,4,0,0.058037180280754753
pseudo_inverse_guidance,1.0,100,4,10,0.15854481052618558
pseudo_inverse_guidance,1.0,100,4,100,0.3344182973464326
pseudo_inverse_guidance,1.0,100,4,101,0.8084770714276421
pseudo_inverse_guidance,1.0,100,4,404,0.7355929428212056
pseudo_inverse_guidance,1.0,100,4,1000,1.0416660868833392
smc_diff_opt,0.1,10,1,0,0.3006885423700918
smc_diff_opt,0.1,10,1,10,0.5850751830825384
smc_diff_opt,0.1,10,1,100,0.3686437039829479
smc_diff_opt,0.1,10,1,101,0.7475394163692688
smc_diff_opt,0.1,10,1,404,1.1463579463247755
smc_diff_opt,0.1,10,1,1000,0.3782305150282579
smc_diff_opt,0.1,10,2,0,0.5708762111964126
smc_diff_opt,0.1,10,2,10,0.6228607249526577
smc_diff_opt,0.1,10,2,100,0.2036746642685984
smc_diff_opt,0.1,10,2,101,0.107008656566436
smc_diff_opt,0.1,10,2,404,0.2365332352727876
smc_diff_opt,0.1,10,2,1000,0.1652268322709339
smc_diff_opt,0.1,10,4,0,0.1209294042103931
smc_diff_opt,0.1,10,4,10,0.2028630771284993
