method,sigma_y,dim_x,dim_y,seed,sliced_wasserstein_distance
mcg_diff,1.0,80,4,100,4.5448473493252095
mcg_diff,1.0,80,4,1000,4.414129728878695
pseudo_inverse_guidance,0.01,8,1,0,5.736995105305743
pseudo_inverse_guidance,0.01,8,1,1,0.5720247502645245
pseudo_inverse_guidance,0.01,8,1,10,1.3897705495494472
pseudo_inverse_guidance,0.01,8,1,100,5.696958473160115
pseudo_inverse_guidance,0.01,8,1,1000,0.6919395387954388
pseudo_inverse_guidance,0.01,8,2,0,0.058626579052474
pseudo_inverse_guidance,0.01,8,2,1,0.1120059868650051
pseudo_inverse_guidance,0.01,8,2,10,0.5982917265945623
pseudo_inverse_guidance,0.01,8,2,100,0.2452125721102717
pseudo_inverse_guidance,0.01,8,2,1000,0.1002112687545884
pseudo_inverse_guidance,0.01,8,4,0,0.0522011775470058
pseudo_inverse_guidance,0.01,8,4,1,0.0651375972659917
pseudo_inverse_guidance,0.01,8,4,10,0.0797980259913098
pseudo_inverse_guidance,0.01,8,4,100,0.119791335210165
pseudo_inverse_guidance,0.01,8,4,1000,0.0804462411388256
pseudo_inverse_guidance,0.01,80,1,0,3.651159952929423
pseudo_inverse_guidance,0.01,80,1,1,3.506365470682381
pseudo_inverse_guidance,0.01,80,1,10,0.5816817817796394
pseudo_inverse_guidance,0.01,80,1,100,1.149209194382898
pseudo_inverse_guidance,0.01,80,1,1000,5.785780233243343
pseudo_inverse_guidance,0.01,80,2,0,0.0594310306040353
pseudo_inverse_guidance,0.01,80,2,1,0.1880036872369889
pseudo_inverse_guidance,0.01,80,2,10,0.599285643837663
pseudo_inverse_guidance,0.01,80,2,100,0.0601510954692874
pseudo_inverse_guidance,0.01,80,2,1000,0.0566037016038739
pseudo_inverse_guidance,0.01,80,4,0,0.0562914886362535
pseudo_inverse_guidance,0.01,80,4,1,0.0971645078708823
pseudo_inverse_guidance,0.01,80,4,10,0.0565273383383606
pseudo_inverse_guidance,0.01,80,4,100,0.0588959748874764
pseudo_inverse_guidance,0.01,80,4,1000,0.0558914370510933
pseudo_inverse_guidance,0.1,8,1,0,5.883328720306389
pseudo_inverse_guidance,0.1,8,1,1,0.5493830727019101
pseudo_inverse_guidance,0.1,8,1,10,1.2587891196476917
pseudo_inverse_guidance,0.1,8,1,100,4.416032197013357
pseudo_inverse_guidance,0.1,8,1,1000,1.410450408463496
pseudo_inverse_guidance,0.1,8,2,0,0.0591204668434612
pseudo_inverse_guidance,0.1,8,2,1,0.118590784431094
pseudo_inverse_guidance,0.1,8,2,10,0.314714269902315
pseudo_inverse_guidance,0.1,8,2,100,0.2508910651642458
pseudo_inverse_guidance,0.1,8,2,1000,0.0864513633896953
pseudo_inverse_guidance,0.1,8,4,0,0.0571771835969055
pseudo_inverse_guidance,0.1,8,4,1,0.0684581785962778
pseudo_inverse_guidance,0.1,8,4,10,0.0842866993549176
pseudo_inverse_guidance,0.1,8,4,100,0.0610153190885061
pseudo_inverse_guidance,0.1,8,4,1000,0.0845450514175574
pseudo_inverse_guidance,0.1,80,1,0,3.266288167273182
pseudo_inverse_guidance,0.1,80,1,1,3.83363683086252
pseudo_inverse_guidance,0.1,80,1,10,0.3745981480253177
pseudo_inverse_guidance,0.1,80,1,100,1.378623450956016
pseudo_inverse_guidance,0.1,80,1,1000,5.49181956036428
pseudo_inverse_guidance,0.1,80,2,0,0.0590807406119534
pseudo_inverse_guidance,0.1,80,2,1,0.1202741108046298
pseudo_inverse_guidance,0.1,80,2,10,1.182294148069896
pseudo_inverse_guidance,0.1,80,2,100,0.0603906952118553
pseudo_inverse_guidance,0.1,80,2,1000,0.0568260507969115
pseudo_inverse_guidance,0.1,80,4,0,0.0553082827194445
pseudo_inverse_guidance,0.1,80,4,1,0.1028533219535648
pseudo_inverse_guidance,0.1,80,4,10,0.0604201353547678
pseudo_inverse_guidance,0.1,80,4,100,0.0594704400700611
pseudo_inverse_guidance,0.1,80,4,1000,0.0567649443632867
pseudo_inverse_guidance,1.0,8,1,0,1.7877759415550074
pseudo_inverse_guidance,1.0,8,1,1,0.4361609887441502
pseudo_inverse_guidance,1.0,8,1,10,1.6133992854957713
pseudo_inverse_guidance,1.0,8,1,100,1.876876006404767
pseudo_inverse_guidance,1.0,8,1,1000,1.500710112566446
pseudo_inverse_guidance,1.0,8,2,0,1.1668822634211802
pseudo_inverse_guidance,1.0,8,2,1,1.8350089725593688
pseudo_inverse_guidance,1.0,8,2,10,1.1173514053148557
pseudo_inverse_guidance,1.0,8,2,100,0.4316369500587945
pseudo_inverse_guidance,1.0,8,2,1000,0.0504750284920267
pseudo_inverse_guidance,1.0,8,4,0,0.1219877540522803
pseudo_inverse_guidance,1.0,8,4,1,0.0762029300750995
pseudo_inverse_guidance,1.0,8,4,10,0.0956074856217128
pseudo_inverse_guidance,1.0,8,4,100,0.070497394311433
pseudo_inverse_guidance,1.0,8,4,1000,0.0993104224619013
pseudo_inverse_guidance,1.0,80,1,0,0.4154346639394112
pseudo_inverse_guidance,1.0,80,1,1,1.2659972821307817
pseudo_inverse_guidance,1.0,80,1,10,0.6948101366557434
pseudo_inverse_guidance,1.0,80,1,100,0.9981055208661188
pseudo_inverse_guidance,1.0,80,1,1000,1.992421731861531
pseudo_inverse_guidance,1.0,80,2,0,0.0605115973912581
pseudo_inverse_guidance,1.0,80,2,1,3.305887593147804
pseudo_inverse_guidance,1.0,80,2,10,0.7951649820885471
pseudo_inverse_guidance,1.0,80,2,100,0.7172246967210827
pseudo_inverse_guidance,1.0,80,2,1000,0.0587283298059228
pseudo_inverse_guidance,1.0,80,4,0,0.1493721573062419
pseudo_inverse_guidance,1.0,80,4,1,1.6304608863473349
pseudo_inverse_guidance,1.0,80,4,10,1.1530251523776027
pseudo_inverse_guidance,1.0,80,4,100,0.4243705583340094
pseudo_inverse_guidance,1.0,80,4,1000,0.5773786020812521
smc_diff_opt,0.01,8,1,0,0.5469787648200013
smc_diff_opt,0.01,8,1,1,1.4210731978260795
smc_diff_opt,0.01,8,1,10,0.6569637433374969
smc_diff_opt,0.01,8,1,100,0.9315018931732668
smc_diff_opt,0.01,8,1,1000,1.3404243505278313
smc_diff_opt,0.01,8,2,0,0.1335109392878013
